,,,437.86,419.52,190.91,172.9,190.46,172.8,190.08,171.9,190.75,172.42,191.2,173.09,189.73,171.42,191.42,173.15,190.02,171.84,190.02,171.94,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,346.11,328.45,347.62,329.63,246.53,228.61,251.39,233.44,240.74,222.94,539.49,223.78,320.42,302.5,333.38,315.52,244.1,225.98,432.45,414.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,301.98,283.71,248.22,229.89,213.09,194.62,200.93,182.43,190.34,171.94,407.17,388.61,200.86,182.4,209.63,191.23,213.25,194.91,190.21,171.71,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,324.83,306.5,102.82,84.35,92.77,74.18,101.12,82.72,71.17,52.58,93.82,75.01,94.43,75.9,72.67,54.08,185.41,166.85,155.39,137.09,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,309.31,291.3,254.88,237.15,254.82,237.18,255.46,237.41,255.36,237.5,255.68,237.6,255.46,237.66,255.46,237.22,255.55,237.57,254.78,236.93,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,66.62,48.54,66.5,48.51,66.78,48.54,68.26,50.3,66.82,48.9,68,49.79,67.84,49.79,67.39,49.41,67.74,49.38,68.19,50.14,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,496.96,478.66,368,350.27,218.98,200.7,158.43,140.19,158.3,139.9,226.91,208.74,222.69,204.51,447.49,429.02,234.34,215.97,475.14,457.22,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,435.62,417.38,123.26,105.38,122.56,104.26,122.53,104.13,122.85,104.8,123.68,105.7,123.81,105.66,123.65,105.66,123.46,105.44,123.14,104.86,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,203.04,184.99,279.36,260.93,268.7,250.69,193.18,175.07,203.26,185.09,463.1,445.02,266.24,248.22,224.16,205.95,346.4,328.32,292.51,274.43,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Averages:,,289.1507692,18.14923077,191.7,18.07307692,172.2146154,18.11076923,160.5392308,18.14461538,153.4646154,18.16307692,219.6469231,41.06692308,165.2361538,18.13153846,187.82,18.19615385,199.4538462,18.18384615,215.2992308,18.07846154,,,,,,,,,,,,,,,,,,,,
,,,,271.0015385,,173.6269231,,154.1038462,,142.3946154,,135.3015385,,178.58,,147.1046154,,169.6238462,,181.27,,197.2207692,,,,,,,,,,,,,,,,,,,,
